	Dividends	Stock Splits	Date	contractSymbol	strike	lastPrice	bid	ask	change	percentChange	volume	openInterest	impliedVolatility	inTheMoney	contractSize	currency
0	0.0	5.0	2020-08-31													
1			2024-09-13	TSLA240920P00005000	5.0	0.01	0.0	0.0	0.0	0.0	1.0	1448.0	0.500005	False	REGULAR	USD
2			2024-09-13	TSLA240920P00095000	95.0	0.01	0.0	0.0	0.0	0.0	1.0	2695.0	0.500005	False	REGULAR	USD
3			2024-09-13	TSLA240920P00105000	105.0	0.01	0.0	0.0	0.0	0.0	3083.0	6749.0	0.500005	False	REGULAR	USD
4			2024-09-13	TSLA240920P00290000	290.0	60.9	0.0	0.0	0.0	0.0	1.0	11.0	1.0000000000000003e-05	True	REGULAR	USD
5			2024-09-13	TSLA240920P00295000	295.0	66.05	0.0	0.0	0.0	0.0	21.0	25.0	1.0000000000000003e-05	True	REGULAR	USD
6			2024-09-13	TSLA240920P00320000	320.0	90.0	0.0	0.0	0.0	0.0	5.0	10.0	1.0000000000000003e-05	True	REGULAR	USD
7			2024-09-13	TSLA240920P00325000	325.0	95.02	0.0	0.0	0.0	0.0	5.0	0.0	1.0000000000000003e-05	True	REGULAR	USD
8			2024-09-13	TSLA240920P00485000	485.0	255.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0000000000000003e-05	True	REGULAR	USD
9			2024-09-13	TSLA240920C00075000	75.0	154.16	0.0	0.0	0.0	0.0	10.0	205.0	1.0000000000000003e-05	True	REGULAR	USD
10			2024-09-13	TSLA240920C00080000	80.0	148.78	0.0	0.0	0.0	0.0	10.0	159.0	1.0000000000000003e-05	True	REGULAR	USD
11			2024-09-13	TSLA240920C00090000	90.0	139.95	0.0	0.0	0.0	0.0	11.0	623.0	1.0000000000000003e-05	True	REGULAR	USD
12			2024-09-13	TSLA240920C00100000	100.0	129.74	0.0	0.0	0.0	0.0	87.0	604.0	1.0000000000000003e-05	True	REGULAR	USD
13			2024-09-13	TSLA240920C00330000	330.0	0.01	0.0	0.0	0.0	0.0	138.0	6532.0	0.500005	False	REGULAR	USD
14			2024-09-13	TSLA240920C00335000	335.0	0.01	0.0	0.0	0.0	0.0	56.0	2271.0	0.500005	False	REGULAR	USD
15			2024-09-13	TSLA240920C00520000	520.0	0.01	0.0	0.0	0.0	0.0	1.0	0.0	0.500005	False	REGULAR	USD
16			2024-09-13	TSLA240920C00550000	550.0	0.01	0.0	0.0	0.0	0.0	50.0	0.0	1.000005	False	REGULAR	USD
17			2024-08-28	TSLA240920P00010000	10.0	0.01	0.0	0.0	0.0	0.0	1.0	747.0	0.500005	False	REGULAR	USD
18			2024-08-05	TSLA240920P00015000	15.0	0.01	0.0	0.01	0.0	0.0	501.0	1449.0	7.7500003125	False	REGULAR	USD
19			2024-08-05	TSLA240920P00020000	20.0	0.01	0.0	0.01	0.0	0.0	25.0	2572.0	7.00000125	False	REGULAR	USD
20			2024-08-22	TSLA240920P00025000	25.0	0.01	0.0	0.0	0.0	0.0	1.0	2217.0	0.500005	False	REGULAR	USD
21			2024-08-22	TSLA240920P00395000	395.0	173.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0000000000000003e-05	True	REGULAR	USD
22			2024-08-22	TSLA240920C00495000	495.0	0.01	0.0	0.0	0.0	0.0	16.0	0.0	0.500005	False	REGULAR	USD
23			2024-09-12	TSLA240920P00030000	30.0	0.01	0.0	0.0	0.0	0.0	5.0	0.0	0.500005	False	REGULAR	USD
24			2024-09-12	TSLA240920P00050000	50.0	0.01	0.0	0.0	0.0	0.0	1.0	5133.0	0.500005	False	REGULAR	USD
25			2024-09-12	TSLA240920P00300000	300.0	72.0	0.0	0.0	0.0	0.0	2.0	1.0	1.0000000000000003e-05	True	REGULAR	USD
26			2024-09-12	TSLA240920P00305000	305.0	75.8	0.0	0.0	0.0	0.0	1.0	0.0	1.0000000000000003e-05	True	REGULAR	USD
27			2024-09-12	TSLA240920P00330000	330.0	100.57	0.0	0.0	0.0	0.0	7.0	0.0	1.0000000000000003e-05	True	REGULAR	USD
28			2024-09-12	TSLA240920P00335000	335.0	105.54	0.0	0.0	0.0	0.0	4.0	0.0	1.0000000000000003e-05	True	REGULAR	USD
29			2024-09-12	TSLA240920P00475000	475.0	246.05	0.0	0.0	0.0	0.0	10.0	0.0	1.0000000000000003e-05	True	REGULAR	USD
30			2024-09-12	TSLA240920C00040000	40.0	188.6	0.0	0.0	0.0	0.0	2.0	0.0	1.0000000000000003e-05	True	REGULAR	USD
31			2024-09-12	TSLA240920C00340000	340.0	0.01	0.0	0.0	0.0	0.0	208.0	3173.0	0.500005	False	REGULAR	USD
32			2024-09-12	TSLA240920C00345000	345.0	0.01	0.0	0.0	0.0	0.0	13.0	1260.0	0.500005	False	REGULAR	USD
33			2024-09-12	TSLA240920C00350000	350.0	0.01	0.0	0.0	0.0	0.0	64.0	10730.0	0.500005	False	REGULAR	USD
34			2024-09-12	TSLA240920C00355000	355.0	0.01	0.0	0.0	0.0	0.0	22.0	2207.0	0.500005	False	REGULAR	USD
35			2024-09-12	TSLA240920C00360000	360.0	0.01	0.0	0.0	0.0	0.0	1.0	2183.0	0.500005	False	REGULAR	USD
36			2024-09-12	TSLA240920C00470000	470.0	0.01	0.0	0.0	0.0	0.0	15.0	1237.0	0.500005	False	REGULAR	USD
37			2024-09-12	TSLA240920C00485000	485.0	0.01	0.0	0.0	0.0	0.0	12.0	567.0	0.500005	False	REGULAR	USD
38			2024-09-16	TSLA240920P00035000	35.0	0.01	0.0	0.0	0.0	0.0	33.0	1616.0	0.500005	False	REGULAR	USD
39			2024-09-16	TSLA240920P00060000	60.0	0.02	0.0	0.0	0.0	0.0	6.0	0.0	0.500005	False	REGULAR	USD
40			2024-09-16	TSLA240920P00080000	80.0	0.01	0.0	0.0	0.0	0.0	7.0	0.0	0.500005	False	REGULAR	USD
41			2024-09-16	TSLA240920P00085000	85.0	0.01	0.0	0.0	0.0	0.0	10.0	21000.0	0.500005	False	REGULAR	USD
42			2024-09-16	TSLA240920P00090000	90.0	0.01	0.0	0.0	0.0	0.0	13.0	27864.0	0.500005	False	REGULAR	USD
43			2024-09-16	TSLA240920P00100000	100.0	0.01	0.0	0.0	0.0	0.0	16.0	38728.0	0.500005	False	REGULAR	USD
44			2024-09-16	TSLA240920P00110000	110.0	0.01	0.0	0.0	0.0	0.0	35.0	14368.0	0.500005	False	REGULAR	USD
45			2024-09-16	TSLA240920P00115000	115.0	0.01	0.0	0.0	0.0	0.0	57.0	8064.0	0.500005	False	REGULAR	USD
46			2024-09-16	TSLA240920P00120000	120.0	0.01	0.0	0.0	0.0	0.0	132.0	9656.0	0.500005	False	REGULAR	USD
47			2024-09-16	TSLA240920P00125000	125.0	0.01	0.0	0.0	0.0	0.0	274.0	0.0	0.500005	False	REGULAR	USD
48			2024-09-16	TSLA240920P00130000	130.0	0.01	0.0	0.0	0.0	0.0	58.0	0.0	0.500005	False	REGULAR	USD
49			2024-09-16	TSLA240920P00135000	135.0	0.01	0.0	0.0	0.0	0.0	607.0	4507.0	0.500005	False	REGULAR	USD
50			2024-09-16	TSLA240920P00140000	140.0	0.01	0.0	0.0	0.0	0.0	235.0	9388.0	0.500005	False	REGULAR	USD
51			2024-09-16	TSLA240920P00145000	145.0	0.01	0.0	0.0	0.0	0.0	711.0	7473.0	0.500005	False	REGULAR	USD
52			2024-09-16	TSLA240920P00150000	150.0	0.02	0.0	0.0	0.0	0.0	724.0	36736.0	0.500005	False	REGULAR	USD
53			2024-09-16	TSLA240920P00155000	155.0	0.02	0.0	0.0	0.0	0.0	4825.0	16547.0	0.500005	False	REGULAR	USD
54			2024-09-16	TSLA240920P00160000	160.0	0.02	0.0	0.0	0.0	0.0	1166.0	21807.0	0.500005	False	REGULAR	USD
55			2024-09-16	TSLA240920P00165000	165.0	0.02	0.0	0.0	0.0	0.0	1829.0	16880.0	0.500005	False	REGULAR	USD
56			2024-09-16	TSLA240920P00170000	170.0	0.03	0.0	0.0	0.0	0.0	1201.0	21333.0	0.500005	False	REGULAR	USD
57			2024-09-16	TSLA240920P00175000	175.0	0.04	0.0	0.0	0.0	0.0	2370.0	17851.0	0.500005	False	REGULAR	USD
58			2024-09-16	TSLA240920P00180000	180.0	0.05	0.0	0.0	0.0	0.0	3259.0	0.0	0.500005	False	REGULAR	USD
59			2024-09-16	TSLA240920P00185000	185.0	0.08	0.0	0.0	0.0	0.0	2147.0	0.0	0.500005	False	REGULAR	USD
60			2024-09-16	TSLA240920P00187500	187.5	0.09	0.0	0.0	0.0	0.0	1034.0	0.0	0.500005	False	REGULAR	USD
61			2024-09-16	TSLA240920P00190000	190.0	0.12	0.0	0.0	0.0	0.0	3054.0	17707.0	0.500005	False	REGULAR	USD
62			2024-09-16	TSLA240920P00192500	192.5	0.14	0.0	0.0	0.0	0.0	1794.0	3508.0	0.500005	False	REGULAR	USD
63			2024-09-16	TSLA240920P00195000	195.0	0.16	0.0	0.0	0.0	0.0	2281.0	13905.0	0.2500075	False	REGULAR	USD
64			2024-09-16	TSLA240920P00197500	197.5	0.21	0.0	0.0	0.0	0.0	1064.0	0.0	0.2500075	False	REGULAR	USD
65			2024-09-16	TSLA240920P00200000	200.0	0.27	0.0	0.0	0.0	0.0	8410.0	34595.0	0.2500075	False	REGULAR	USD
66			2024-09-16	TSLA240920P00202500	202.5	0.33	0.0	0.0	0.0	0.0	2586.0	3011.0	0.2500075	False	REGULAR	USD
67			2024-09-16	TSLA240920P00205000	205.0	0.43	0.0	0.0	0.0	0.0	8725.0	16400.0	0.2500075	False	REGULAR	USD
68			2024-09-16	TSLA240920P00207500	207.5	0.57	0.0	0.0	0.0	0.0	5240.0	3168.0	0.2500075	False	REGULAR	USD
69			2024-09-16	TSLA240920P00210000	210.0	0.76	0.0	0.0	0.0	0.0	13979.0	0.0	0.2500075	False	REGULAR	USD
70			2024-09-16	TSLA240920P00212500	212.5	1.04	0.0	0.0	0.0	0.0	9670.0	5830.0	0.2500075	False	REGULAR	USD
71			2024-09-16	TSLA240920P00215000	215.0	1.4	0.0	0.0	0.0	0.0	27026.0	17984.0	0.12500875	False	REGULAR	USD
72			2024-09-16	TSLA240920P00217500	217.5	1.87	0.0	0.0	0.0	0.0	11765.0	5016.0	0.12500875	False	REGULAR	USD
73			2024-09-16	TSLA240920P00220000	220.0	2.55	0.0	0.0	0.0	0.0	53780.0	22264.0	0.12500875	False	REGULAR	USD
74			2024-09-16	TSLA240920P00222500	222.5	3.35	0.0	0.0	0.0	0.0	18827.0	0.0	0.12500875	False	REGULAR	USD
75			2024-09-16	TSLA240920P00225000	225.0	4.35	0.0	0.0	0.0	0.0	50840.0	9970.0	0.062509375	False	REGULAR	USD
76			2024-09-16	TSLA240920P00227500	227.5	5.6	0.0	0.0	0.0	0.0	22049.0	4559.0	0.0312596875	False	REGULAR	USD
77			2024-09-16	TSLA240920P00230000	230.0	7.0	0.0	0.0	0.0	0.0	18496.0	11506.0	0.015634843750000002	False	REGULAR	USD
78			2024-09-16	TSLA240920P00232500	232.5	8.53	0.0	0.0	0.0	0.0	1752.0	2631.0	1.0000000000000003e-05	True	REGULAR	USD
79			2024-09-16	TSLA240920P00235000	235.0	10.13	0.0	0.0	0.0	0.0	3662.0	0.0	1.0000000000000003e-05	True	REGULAR	USD
80			2024-09-16	TSLA240920P00237500	237.5	11.8	0.0	0.0	0.0	0.0	712.0	775.0	1.0000000000000003e-05	True	REGULAR	USD
81			2024-09-16	TSLA240920P00240000	240.0	14.1	0.0	0.0	0.0	0.0	1533.0	8179.0	1.0000000000000003e-05	True	REGULAR	USD
82			2024-09-16	TSLA240920P00242500	242.5	16.44	0.0	0.0	0.0	0.0	180.0	457.0	1.0000000000000003e-05	True	REGULAR	USD
83			2024-09-16	TSLA240920P00245000	245.0	18.45	0.0	0.0	0.0	0.0	363.0	3691.0	1.0000000000000003e-05	True	REGULAR	USD
84			2024-09-16	TSLA240920P00247500	247.5	20.55	0.0	0.0	0.0	0.0	70.0	0.0	1.0000000000000003e-05	True	REGULAR	USD
85			2024-09-16	TSLA240920P00250000	250.0	23.5	0.0	0.0	0.0	0.0	264.0	12945.0	1.0000000000000003e-05	True	REGULAR	USD
86			2024-09-16	TSLA240920P00255000	255.0	28.7	0.0	0.0	0.0	0.0	30.0	2420.0	1.0000000000000003e-05	True	REGULAR	USD
87			2024-09-16	TSLA240920P00260000	260.0	32.55	0.0	0.0	0.0	0.0	37.0	1230.0	1.0000000000000003e-05	True	REGULAR	USD
88			2024-09-16	TSLA240920P00265000	265.0	37.4	0.0	0.0	0.0	0.0	7.0	0.0	1.0000000000000003e-05	True	REGULAR	USD
89			2024-09-16	TSLA240920P00270000	270.0	42.8	0.0	0.0	0.0	0.0	8.0	0.0	1.0000000000000003e-05	True	REGULAR	USD
90			2024-09-16	TSLA240920P00275000	275.0	47.15	0.0	0.0	0.0	0.0	15.0	12.0	1.0000000000000003e-05	True	REGULAR	USD
91			2024-09-16	TSLA240920P00280000	280.0	52.0	0.0	0.0	0.0	0.0	23.0	2001.0	1.0000000000000003e-05	True	REGULAR	USD
92			2024-09-16	TSLA240920P00285000	285.0	58.55	0.0	0.0	0.0	0.0	2.0	2.0	1.0000000000000003e-05	True	REGULAR	USD
93			2024-09-16	TSLA240920P00315000	315.0	87.85	0.0	0.0	0.0	0.0	1.0	0.0	1.0000000000000003e-05	True	REGULAR	USD
94			2024-09-16	TSLA240920P00370000	370.0	141.11	0.0	0.0	0.0	0.0	2.0	0.0	1.0000000000000003e-05	True	REGULAR	USD
95			2024-09-16	TSLA240920P00400000	400.0	173.02	0.0	0.0	0.0	0.0	12.0	20.0	1.0000000000000003e-05	True	REGULAR	USD
96			2024-09-16	TSLA240920P00405000	405.0	178.03	0.0	0.0	0.0	0.0	7.0	0.0	1.0000000000000003e-05	True	REGULAR	USD
97			2024-09-16	TSLA240920P00410000	410.0	183.04	0.0	0.0	0.0	0.0	5.0	0.0	1.0000000000000003e-05	True	REGULAR	USD
98			2024-09-16	TSLA240920P00415000	415.0	187.95	0.0	0.0	0.0	0.0	5.0	5.0	1.0000000000000003e-05	True	REGULAR	USD
99			2024-09-16	TSLA240920P00420000	420.0	192.96	0.0	0.0	0.0	0.0	3.0	0.0	1.0000000000000003e-05	True	REGULAR	USD
100			2024-09-16	TSLA240920P00425000	425.0	197.97	0.0	0.0	0.0	0.0	2.0	0.0	1.0000000000000003e-05	True	REGULAR	USD
101			2024-09-16	TSLA240920C00005000	5.0	222.79	0.0	0.0	0.0	0.0	14.0	899.0	1.0000000000000003e-05	True	REGULAR	USD
102			2024-09-16	TSLA240920C00010000	10.0	217.76	0.0	0.0	0.0	0.0	1.0	343.0	1.0000000000000003e-05	True	REGULAR	USD
103			2024-09-16	TSLA240920C00035000	35.0	192.91	0.0	0.0	0.0	0.0	1.0	168.0	1.0000000000000003e-05	True	REGULAR	USD
104			2024-09-16	TSLA240920C00095000	95.0	131.72	0.0	0.0	0.0	0.0	1.0	156.0	1.0000000000000003e-05	True	REGULAR	USD
105			2024-09-16	TSLA240920C00105000	105.0	121.75	0.0	0.0	0.0	0.0	1.0	357.0	1.0000000000000003e-05	True	REGULAR	USD
106			2024-09-16	TSLA240920C00110000	110.0	116.8	0.0	0.0	0.0	0.0	3.0	328.0	1.0000000000000003e-05	True	REGULAR	USD
107			2024-09-16	TSLA240920C00115000	115.0	111.95	0.0	0.0	0.0	0.0	6.0	894.0	1.0000000000000003e-05	True	REGULAR	USD
108			2024-09-16	TSLA240920C00120000	120.0	106.7	0.0	0.0	0.0	0.0	2.0	873.0	1.0000000000000003e-05	True	REGULAR	USD
109			2024-09-16	TSLA240920C00125000	125.0	101.45	0.0	0.0	0.0	0.0	2.0	852.0	1.0000000000000003e-05	True	REGULAR	USD
110			2024-09-16	TSLA240920C00130000	130.0	97.11	0.0	0.0	0.0	0.0	14.0	1110.0	1.0000000000000003e-05	True	REGULAR	USD
111			2024-09-16	TSLA240920C00135000	135.0	92.95	0.0	0.0	0.0	0.0	32.0	2295.0	1.0000000000000003e-05	True	REGULAR	USD
112			2024-09-16	TSLA240920C00140000	140.0	87.94	0.0	0.0	0.0	0.0	30.0	1713.0	1.0000000000000003e-05	True	REGULAR	USD
113			2024-09-16	TSLA240920C00145000	145.0	82.03	0.0	0.0	0.0	0.0	15.0	2070.0	1.0000000000000003e-05	True	REGULAR	USD
114			2024-09-16	TSLA240920C00150000	150.0	77.02	0.0	0.0	0.0	0.0	12.0	11797.0	1.0000000000000003e-05	True	REGULAR	USD
115			2024-09-16	TSLA240920C00155000	155.0	73.29	0.0	0.0	0.0	0.0	22.0	2111.0	1.0000000000000003e-05	True	REGULAR	USD
116			2024-09-16	TSLA240920C00160000	160.0	68.48	0.0	0.0	0.0	0.0	238.0	22111.0	1.0000000000000003e-05	True	REGULAR	USD
117			2024-09-16	TSLA240920C00165000	165.0	62.12	0.0	0.0	0.0	0.0	245.0	2249.0	1.0000000000000003e-05	True	REGULAR	USD
118			2024-09-16	TSLA240920C00170000	170.0	56.88	0.0	0.0	0.0	0.0	99.0	4160.0	1.0000000000000003e-05	True	REGULAR	USD
